| GET     | ScriptStudio/Marketplace                                                    | »                                              | \App\Modules\ScriptStudio\Controllers\ScriptStudioController::marketplace                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | ScriptStudio/Create                                                         | »                                              | \App\Modules\ScriptStudio\Controllers\ScriptStudioController::create                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | ScriptStudio/Edit/([0-9]+)                                                  | »                                              | \App\Modules\ScriptStudio\Controllers\ScriptStudioController::edit/$1                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | ScriptStudio/Preview/([0-9]+)                                               | »                                              | \App\Modules\ScriptStudio\Controllers\ScriptStudioController::preview/$1                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | ScriptStudio/Export/([0-9]+)/([^/]+)                                        | »                                              | \App\Modules\ScriptStudio\Controllers\ScriptStudioController::export/$1/$2                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/Daily-Financial-News                                           | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::DailyFinancialNews                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/MyMI-Gold                                                      | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::MyMIGold                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/What-Is-MyMI-Gold                                              | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::MyMIGold                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/Purchase-MyMI-Gold                                             | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::PurchaseMyMIGold                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/Setting-Financial-Goals                                        | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::SettingFinancialGoals                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
